node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,7,0.00909090909091,0.384032904451,-6.87476233397,-2.45319222173,3.91339217104e+39,119.571428571,0.8
whiting,18,0.0233766233766,0.437300348265,-5.05905190494,-1.9182342959,4.5969924787e+40,163.722222222,0.641666666667
sunflower_oil,16,0.0207792207792,0.42880357984,-5.23259316554,-1.99076596718,3.29158897484e+40,152.75,0.626373626374
mackerel,8,0.0103896103896,0.399320100888,-5.95952517977,-2.339097686,6.6181318893e+39,140.625,0.533333333333
roe,53,0.0688311688312,0.465592635213,-3.57242976178,-1.46788382278,3.65731821223e+41,145.924528302,0.508235294118
olive,15,0.0194805194805,0.437878787879,-4.93131749262,-2.0457669268,2.55494505312e+40,146.4,0.551282051282
parmesan,0,0.0,0.0,0,0,3796958521.25,0.0,0.0
barbecue,0,0.0,0.0,0,0,14831870.2197,0.0,0.0
fish_steak,26,0.0337662337662,0.454408186186,-4.53245461227,-1.71105152885,1.19348573314e+41,179.346153846,0.619565217391
hominy_grits,4,0.00519480519481,0.352166344294,0,-2.87136113282,5.70397480979e+38,78.25,1.0
freshwater_fish,9,0.0116883116883,0.420898110154,-6.05457805479,-2.18524611141,1.34407823782e+40,179.555555556,0.571428571429
liquorice,37,0.0480519480519,0.460412188646,-4.02586263982,-1.66742214425,1.45902777778e+41,132.297297297,0.505882352941
grape,70,0.0909090909091,0.476997642127,-3.40994454281,-1.36971169186,5.74758257536e+41,135.157142857,0.415715539947
peanut,144,0.187012987013,0.511253071253,-2.58671388811,-1.11304704839,1.87422275284e+42,112.5,0.320946958346
dumpling,32,0.0415584415584,0.452544584602,-4.70571269695,-1.62658125995,1.76106557075e+41,170.40625,0.67816091954
sashimi,29,0.0376623376623,0.453474470735,-4.6672958761,-1.6817053113,1.36617120047e+41,163.862068966,0.712250712251
stilton,0,0.0,0.0,0,0,1.0,0.0,0.0
couscous,28,0.0363636363636,0.434716170238,-4.23594519155,-1.78314959406,8.56235144884e+40,131.821428571,0.612307692308
black_olive,42,0.0545454545455,0.45945366223,-4.07542414543,-1.54816497544,2.52687412469e+41,151.547619048,0.528205128205
cress,24,0.0311688311688,0.438458759783,-4.72813476083,-1.84063322827,6.57141024381e+40,135.166666667,0.69696969697
purple_amaranth,6,0.00779220779221,0.37028676022,-6.80491944078,-2.67294550886,1.42245168885e+39,83.3333333333,0.833333333333
pork_belly,81,0.105194805195,0.479068543613,-3.14518736686,-1.37415163892,5.63140929551e+41,111.654320988,0.336903602726
ingredient,173,0.224675324675,0.510071438577,-1.76706463843,-1.2700106429,9.09611934353e+41,66.0404624277,0.129480564155
lima_bean,37,0.0480519480519,0.447044380333,-4.01995288662,-1.68410766195,1.35111828064e+41,123.162162162,0.413445378151
peanut_butter,105,0.136363636364,0.493715680293,-2.91630040806,-1.21596157705,1.16678967853e+42,123.476190476,0.381496287836
self-rising_flour,29,0.0376623376623,0.439040270075,-4.0335807477,-1.94159964324,4.12698688625e+40,104.379310345,0.481481481481
ouzo,15,0.0194805194805,0.406179587284,-4.76689414904,-2.15164189307,1.56895430618e+40,103.8,0.551282051282
pak_choi,93,0.120779220779,0.481857880111,-3.30623515909,-1.25955639956,9.54601064382e+41,123.47311828,0.416361416361
red_snapper,57,0.074025974026,0.474944567627,-3.74578543209,-1.40353668239,4.91857946543e+41,159.228070175,0.487542087542
nectar,22,0.0285714285714,0.438458759783,-3.90179717871,-2.00298597963,3.11107127834e+40,110.818181818,0.421052631579
asparagus,111,0.144155844156,0.490787788935,-2.88929525904,-1.21408640274,1.17692576949e+42,114.738738739,0.341318382603
egg_noodle,86,0.111688311688,0.480459163478,-3.42395781569,-1.28976501342,8.30618609519e+41,127.813953488,0.425702811245
vegetable_oil,180,0.233766233766,0.522551481668,-1.9090468877,-1.13136994259,1.72261451884e+42,85.0388888889,0.192344315369
mandarin_orange,45,0.0584415584416,0.455345754658,-3.59211593098,-1.65774460732,1.52540430954e+41,114.533333333,0.423034330011
prosciutto,34,0.0441558441558,0.452854122622,-4.09872317866,-1.70573787471,1.22302633678e+41,132.588235294,0.427419354839
wheat_germ,13,0.0168831168831,0.380939428811,0,-2.3822091905,5.42487780274e+39,82.2307692308,1.0
round,35,0.0454545454545,0.457548533015,-4.58625535507,-1.59358748564,2.05002958883e+41,171.714285714,0.621212121212
dessert_wine,6,0.00779220779221,0.352541388324,0,-2.85206877707,6.23310261195e+38,58.5,1.0
pork,161,0.209090909091,0.508504398827,-2.10407141739,-1.2022005364,1.24320559064e+42,79.0310559006,0.191704482127
sultana,27,0.0350649350649,0.434430923407,-4.23379034701,-1.90474946929,4.89072440958e+40,108.666666667,0.453333333333
tomato_sauce,103,0.133766233766,0.488254223652,-2.41681103564,-1.30528260466,7.73268780255e+41,105.747572816,0.305742574257
pie_shell,10,0.012987012987,0.39835904168,-4.63843215965,-2.42216773167,4.51378672027e+39,92.6,0.535714285714
almond,164,0.212987012987,0.512043872601,-2.06270071001,-1.16665417221,1.46410951501e+42,88.9756097561,0.231807376735
bacon,98,0.127272727273,0.484679888194,-2.8034780137,-1.3211108964,7.1893511835e+41,103.632653061,0.269736842105
millet,5,0.00649350649351,0.361196250558,0,-2.70612450441,1.22070685991e+39,89.0,1.0
burger,18,0.0233766233766,0.425770242619,-5.03049685039,-1.96070407925,3.78038857058e+40,138.944444444,0.816666666667
currant,15,0.0194805194805,0.427972027972,-5.14829724806,-2.0621474434,2.36903002921e+40,143.733333333,0.576923076923
marinade,4,0.00519480519481,0.348276026971,-7.31648510932,-2.86245305504,5.94361077715e+38,82.5,0.0
spaghetti,22,0.0285714285714,0.437878787879,-4.70805704055,-1.87992486896,5.48350369141e+40,138.5,0.521052631579
almond_extract,55,0.0714285714286,0.443748476724,-3.22679170682,-1.72038950142,1.14300705995e+41,84.4909090909,0.395500725689
powdered_sugar,7,0.00909090909091,0.38072037221,-6.62026116908,-2.58373794913,2.14467180286e+39,102.428571429,0.9
red_onion,176,0.228571428571,0.519272727273,-2.21462945479,-1.06752207663,2.31137106552e+42,100.1875,0.260780014617
guava,7,0.00909090909091,0.393154826171,-5.557653745,-2.55316698826,2.46926904993e+39,103.428571429,0.7
ground_beef,90,0.116883116883,0.486818181818,-2.75749767074,-1.31742697985,7.31235499353e+41,120.588888889,0.318181818182
tarragon,66,0.0857142857143,0.462018651272,-2.89187007254,-1.47343343052,3.56471877758e+41,110.045454545,0.356150793651
soup,18,0.0233766233766,0.432727272727,-5.28777774538,-1.94230992169,4.11431677412e+40,141.944444444,0.825
soy_sauce,266,0.345454545455,0.556831562046,-1.64278231816,-0.984596499119,3.38650292224e+42,76.7894736842,0.171419518378
tempura,16,0.0207792207792,0.421433944795,-5.99313079511,-2.01766315041,2.90822157718e+40,145.0625,0.879120879121
espresso,5,0.00649350649351,0.33336995331,0,-3.0239569817,2.82392372359e+38,52.6,1.0
bloody_mary,0,0.0,0.0,0,0,1.0,0.0,0.0
milk,125,0.162337662338,0.492613636364,-2.33399972929,-1.34096458494,6.56040776924e+41,83.152,0.234306277489
dill_weed,81,0.105194805195,0.472571539809,-3.07309443201,-1.35855277425,6.05050824478e+41,117.716049383,0.390782213567
applesauce,13,0.0168831168831,0.413021040095,-5.18229075488,-2.19165982553,1.30488678001e+40,112.461538462,0.509090909091
galangal,62,0.0805194805195,0.472571539809,-3.67427810257,-1.39933612041,5.01465799366e+41,140.451612903,0.49209039548
grapefruit_juice,4,0.00519480519481,0.315422928667,0,-3.41809562309,4.5985756768e+37,22.5,1.0
toast,15,0.0194805194805,0.434146050671,-5.67670354342,-1.96621916804,3.68522442219e+40,171.266666667,0.833333333333
plain_flour,47,0.061038961039,0.46592028661,-3.58212369989,-1.57970595289,2.18516613056e+41,129.468085106,0.39898989899
yellow_bean,82,0.106493506494,0.476997642127,-3.12707499783,-1.36208890431,5.95323112754e+41,111.804878049,0.364556962025
leg,87,0.112987012987,0.480808080808,-3.48314259925,-1.25076281006,9.94008981893e+41,139.655172414,0.469467787115
chilli pepper,10,0.012987012987,0.420363636364,-5.39098027383,-2.19201700981,1.3028610865e+40,160.9,0.785714285714
herb,45,0.0584415584416,0.457548533015,-4.48325691771,-1.4778725238,3.49292839785e+41,163.133333333,0.660022148394
water,155,0.201298701299,0.508114142189,-2.50985676474,-1.12721008891,1.7559628447e+42,97.5677419355,0.272015823873
chicken leg,59,0.0766233766234,0.470222107438,-3.41358742861,-1.4279864832,4.39494346164e+41,145.694915254,0.435463659148
mozzarella,46,0.0597402597403,0.459772727273,-3.55048805132,-1.58756777281,2.10745029353e+41,129.695652174,0.414376321353
vinegar,261,0.338961038961,0.558240073586,-1.71889161148,-0.966153285837,3.68654431488e+42,81.1609195402,0.178055131544
granulated_sugar,36,0.0467532467532,0.423590996336,-3.23270367447,-1.91396454947,4.68710176659e+40,81.6111111111,0.363636363636
stem_ginger,10,0.012987012987,0.389683771202,-7.35220066159,-2.45728447833,3.83920241419e+39,96.8,0.964285714286
beef_tongue,17,0.0220779220779,0.441381818182,-5.05337488003,-1.92967647424,4.36074796685e+40,172.0,0.514285714286
lychee,101,0.131168831169,0.480808080808,-2.66814751889,-1.39901108738,5.02156912832e+41,89.6831683168,0.285095856524
plantain,3,0.0038961038961,0.334380165289,0,-3.13767766051,1.67331093936e+38,61.0,0.0
muenster,0,0.0,0.0,0,0,1.0,0.0,0.0
maple_syrup,42,0.0545454545455,0.451310652538,-3.43345091825,-1.71295644425,1.18292294907e+41,109.5,0.378205128205
cinnamon,215,0.279220779221,0.539147172046,-1.72201201044,-1.10825988356,1.9158477244e+42,77.9488372093,0.170830011516
buckwheat,26,0.0337662337662,0.452544584602,-4.03541173302,-1.79040139204,8.28150773392e+40,150.769230769,0.510869565217
popcorn,3,0.0038961038961,0.33353789787,0,-3.12966760282,1.7362920598e+38,67.3333333333,0.0
mussel,63,0.0818181818182,0.468226822682,-3.70566494707,-1.380206104,5.47655611609e+41,145.206349206,0.52131147541
green_olive,39,0.0506493506494,0.43701170117,-4.02721451014,-1.71821257889,1.15469427244e+41,107.923076923,0.475975975976
apple,96,0.124675324675,0.475626959248,-2.6051683976,-1.42785006028,4.39698743693e+41,88.1458333333,0.281400137268
frog_legs,20,0.025974025974,0.433010285986,-5.36612031944,-1.86919628569,5.76177697166e+40,163.1,0.78431372549
radish,136,0.176623376623,0.500811442718,-2.58780476431,-1.17407434087,1.41503661817e+42,99.5955882353,0.271574458534
liqueur,17,0.0220779220779,0.404937447873,-4.44795296128,-2.18757280773,1.32957047948e+40,87.5294117647,0.447619047619
egg_yolk,126,0.163636363636,0.492980437284,-2.34577710095,-1.26744128063,9.20457468068e+41,91.5158730159,0.246393915552
soybean,90,0.116883116883,0.483617770104,-3.1502608444,-1.29737490086,8.01988644268e+41,118.755555556,0.349791013584
duck,138,0.179220779221,0.505399028452,-2.4453032778,-1.19467380656,1.28696484276e+42,96.9202898551,0.244989106754
pork_tenderloin,96,0.124675324675,0.489336827253,-3.05393586415,-1.23568749011,1.06546259968e+42,135.052083333,0.395332875772
herring,13,0.0168831168831,0.39859887253,-6.60128226295,-2.25680165421,9.66606823819e+39,102.538461538,0.945454545455
broccoli_rabe,21,0.0272727272727,0.436723434876,-4.85052849475,-1.86522890142,5.86738833689e+40,148.285714286,0.649122807018
lime,213,0.276623376623,0.537833247175,-1.98814359555,-1.03610686364,2.67106625097e+42,87.9765258216,0.213947190251
hamburger_bun,17,0.0220779220779,0.426868296114,-4.50263857015,-2.06227053055,2.36797816031e+40,118.117647059,0.552380952381
saltine,4,0.00519480519481,0.338310029266,0,-3.12516640534,1.77211824225e+38,56.0,1.0
sake,79,0.102597402597,0.480808080808,-3.29919698604,-1.32141621999,7.17923444187e+41,131.759493671,0.42036910458
dried_apricot,85,0.11038961039,0.479068543613,-2.69273857285,-1.42860262156,4.38186851949e+41,102.929411765,0.322068762856
worcestershire_sauce,0,0.0,0.0,0,0,1.0,0.0,0.0
five_spice_powder,26,0.0337662337662,0.449777667984,-4.91887342915,-1.73626829054,1.06265980032e+41,161.653846154,0.630434782609
flank_steak,75,0.0974025974026,0.473924643717,-3.31530654184,-1.3357316605,6.72149440532e+41,133.413333333,0.436453576865
pollock,7,0.00909090909091,0.38899690204,-6.28019866626,-2.45386098157,3.9012830852e+39,122.571428571,0.8
msg,16,0.0207792207792,0.438168581914,-5.35716834867,-1.97651904016,3.51477412178e+40,164.625,0.659340659341
blueberry,33,0.0428571428571,0.42880357984,-3.83237463859,-1.96991728892,3.62219113146e+40,86.1818181818,0.458064516129
bibb_lettuce,0,0.0,0.0,0,0,1.0,0.0,0.0
chestnut,96,0.124675324675,0.486818181818,-2.41753604826,-1.34865458662,6.33273172349e+41,101.947916667,0.286890871654
chicken_soup,14,0.0181818181818,0.431036931818,-4.88575865779,-2.06867108064,2.29921380328e+40,150.214285714,0.484848484848
sushi,13,0.0168831168831,0.429917355372,-5.57637790041,-2.03875295787,2.63898065646e+40,177.384615385,0.690909090909
bottled_water,19,0.0246753246753,0.43933160403,-5.56843718867,-1.83372366344,6.78413136413e+40,184.368421053,0.801470588235
tangerine,109,0.141558441558,0.493347784853,-2.59561241477,-1.30653014429,7.68873437459e+41,97.6422018349,0.262034914477
corn_oil,139,0.180519480519,0.503094777563,-2.72075048074,-1.11286611829,1.87579163581e+42,113.323741007,0.353907256333
melon,61,0.0792207792208,0.469888379895,-3.2996230133,-1.48078560659,3.44626003276e+41,120.918032787,0.39333722969
pecan,48,0.0623376623377,0.452235469449,-3.25776678455,-1.65987978776,1.51039907078e+41,111.645833333,0.418357487923
stick,133,0.172727272727,0.506171809842,-2.38221779032,-1.20688007438,1.21654308264e+42,101.180451128,0.282207868467
rabbit,30,0.038961038961,0.453474470735,-4.6281801327,-1.65591751937,1.53848993911e+41,173.733333333,0.619047619048
kasha,7,0.00909090909091,0.392921499865,-5.78239880723,-2.46988715718,3.62348369742e+39,117.857142857,0.7
loquat,28,0.0363636363636,0.431598909565,-3.81457132615,-1.97991876676,3.45969467276e+40,88.1428571429,0.390769230769
virginia_ham,0,0.0,0.0,0,0,1.0,0.0,0.0
gherkin,34,0.0441558441558,0.446441488383,-4.5511179208,-1.61005989716,1.90023008689e+41,162.0,0.600806451613
suckling_pig,13,0.0168831168831,0.42224025974,-5.67118879723,-2.09812470386,2.00763946791e+40,149.461538462,0.781818181818
whisky,32,0.0415584415584,0.451926776295,-4.60724736214,-1.65451820445,1.54843969391e+41,159.59375,0.55632183908
sweet_pickle,17,0.0220779220779,0.433861551293,-3.95699262047,-1.99579568491,3.21609945774e+40,140.294117647,0.485714285714
pickle_relish,6,0.00779220779221,0.366190667739,-6.80772324502,-2.71409102196,1.1767761495e+39,78.1666666667,0.833333333333
edible,17,0.0220779220779,0.43933160403,-4.7434844473,-1.96380240066,3.72664209113e+40,153.941176471,0.552380952381
salad,40,0.0519480519481,0.455972952667,-4.08138393068,-1.63032894147,1.73080821029e+41,129.175,0.479374110953
ghee,44,0.0571428571429,0.45038961039,-3.91652176078,-1.61967493122,1.81783007e+41,116.863636364,0.505226480836
malt,69,0.0896103896104,0.474944567627,-3.74218565316,-1.34581872314,6.41628317833e+41,144.260869565,0.497964721845
tapioca,63,0.0818181818182,0.473924643717,-3.40676308034,-1.46651423596,3.68030241168e+41,121.253968254,0.403278688525
donut,4,0.00519480519481,0.334549129496,0,-3.12467263614,1.77593249222e+38,55.25,1.0
sour,24,0.0311688311688,0.430476415652,-3.90176705587,-1.93361812264,4.28213896223e+40,109.583333333,0.47619047619
celery_seed,25,0.0324675324675,0.447951777586,-4.14721272868,-1.78522527516,8.48105139876e+40,157.0,0.553359683794
candied_fruit,12,0.0155844155844,0.421971145489,-5.06464869017,-2.20315066098,1.23761808347e+40,133.083333333,0.466666666667
pickle,30,0.038961038961,0.447044380333,-5.03387489421,-1.64992385233,1.58158364525e+41,173.766666667,0.68253968254
plum,60,0.0779220779221,0.467565485362,-3.3268762376,-1.52467731913,2.8153054402e+41,113.366666667,0.364186327889
vodka,97,0.125974025974,0.488614558873,-3.06663456167,-1.25754102448,9.6344582472e+41,121.711340206,0.380963045913
hamburger,12,0.0155844155844,0.412506372133,-5.27713414908,-2.2085265365,1.20748176159e+40,121.916666667,0.888888888889
pot_roast,25,0.0324675324675,0.435574162679,-4.70415233338,-1.87500605124,5.60888229975e+40,126.52,0.624505928854
evaporated_milk,52,0.0675324675325,0.456601880878,-3.3716492599,-1.64408566557,1.62439101835e+41,103.442307692,0.366530612245
savoy_cabbage,0,0.0,0.0,0,0,1.0,0.0,0.0
tomato_ketchup,133,0.172727272727,0.502712776972,-2.57606037091,-1.20437862402,1.23073673503e+42,96.962406015,0.252730475631
honey,201,0.261038961039,0.533499377335,-1.78621708262,-1.11792466806,1.83250503977e+42,79.7014925373,0.172986142835
pattypan_squash,9,0.0116883116883,0.399320100888,-6.22523230328,-2.34352744521,6.4840243352e+39,116.888888889,0.761904761905
carrot,243,0.315584415584,0.544020318219,-1.91047149573,-0.961815554591,3.76095192096e+42,88.6419753086,0.21652835408
junket,0,0.0,0.0,0,0,1.0,0.0,0.0
sweet_basil,176,0.228571428571,0.51968031968,-2.31741298956,-1.06884403694,2.29728747934e+42,99.8181818182,0.269948840609
salad_green,46,0.0597402597403,0.466576974822,-4.01430919846,-1.51142676099,2.99268990772e+41,151.347826087,0.528541226216
durian,8,0.0103896103896,0.360606060606,0,-2.69743501596,1.27038968183e+39,66.625,1.0
rape,3,0.0038961038961,0.329225622711,0,-3.2762750602,8.83577598864e+37,58.6666666667,0.0
lamb,145,0.188311688312,0.504628603104,-2.63505842014,-1.11908065966,1.82286066234e+42,108.731034483,0.309366689648
heavy_cream,143,0.185714285714,0.499300699301,-2.07808599656,-1.28536572302,8.47478122e+41,81.2237762238,0.222593718338
acorn_squash,15,0.0194805194805,0.427143695015,-5.57888235697,-1.98525991609,3.37610707437e+40,161.6,0.666666666667
rhubarb,20,0.025974025974,0.436723434876,-4.49646703869,-1.96445685872,3.71504204333e+40,130.1,0.509803921569
rye,19,0.0246753246753,0.427419449498,-4.60350775427,-2.01054095987,3.00472069891e+40,122.421052632,0.566176470588
wine_vinegar,73,0.0948051948052,0.472909090909,-3.4029661203,-1.36923387516,5.76040111201e+41,129.01369863,0.393963782696
