beef_roast,roast_beef
cereal,grain
sprout,stock
cheddar,cheddar_cheese
chickpea,garbanzo
egg_roll,spring_roll
calamari,squid
pimiento,sweet_pepper
cilantro,coriander
cayenne,cayenne_pepper
dressing,salad_dressing
endive,escarole
citrus,citrus_fruit
dessert,sweet
mayo,mayonnaise
coriander,coriander_seed
cocoa,drinking_chocolate
coconut_milk,coconut_water
chicken_broth,chicken_stock
cumin,cumin_seed
drinking_chocolate,hot_chocolate
courgette,zucchini
egg_white,white
beef_broth,beef_stock
submarine_sandwich,torpedo
prawn,shrimp
turnip,white_turnip
gouda,gouda_cheese
port,port_wine
coconut_cream,coconut_milk
cayenne_pepper,red_pepper
anise_seed,aniseed
black_pudding,blood_sausage
yellowtail,yellowtail_snapper
american_cheese,cheddar
purple_onion,red_onion
pepper,peppercorn
wheat,wheat_berry
bass,sea_bass
cookie,cooky
seville_oranges,sour_orange
black_bean,turtle_bean
biscuit,cookie
oatmeal,rolled_oats
pistachio,pistachio_nut
cob,hazelnut
bell_pepper,paprika
soda,soda_water
frijol,kidney_bean
marjoram,oregano
navy_bean,white_bean
green_onion,scallion
rockfish,striped_bass
arugula,rocket
celeriac,celery_root
soy,soy_sauce
anise,anise_seed
fish fillet,fillet
bitter_orange,seville_oranges
scallion,spring_onion
cos_lettuce,romaine_lettuce
beet,beetroot
crab,crabmeat
yoghurt,yogurt
milk_powder,powdered_milk
chip,potato_chip
crown_roast,rack_of_lamb
bean_curd,tofu
catsup,tomato_ketchup
filet,fillet
bulghur,bulgur
chocolate,cocoa
bun,roll
chile,chili
chili,chili_con_carne
broad_bean,fava_bean
hard-boiled_egg,hard-cooked_egg
vanilla,vanilla_extract
cracker,snapper
paprika,pimento
club_soda,soda_water
candied_fruit,crystallized_fruit
cake,patty
sweet potato,sweet_potato
dill,dill_weed
shin,shin_bone
soda_water,sparkling_water
broth,stock
french_beans,haricot_vert
clove,stick
pie_crust,pie_shell
chocolate_sauce,chocolate_syrup
cashew,cashew_nut
cottage_cheese,farmer's_cheese
sugar_cane,sugarcane
leek,scallion
canton_ginger,stem_ginger
oil,vegetable_oil
dried_milk,milk_powder
mustard,mustard_greens
malanga,yautia
gelatin,jelly
pimento,pimiento
dove,squab
chard,swiss_chard
benne,sesame
key_lime,key_limes
crawfish,crayfish
crayfish,spiny_lobster
pork_roast,roast_pork
