node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,22,0.0293333333333,0.461409389671,7.07437726301e-07,0.0099618207413,1.95110154801e+69,287.590909091,0.909090909091
sunflower_oil,80,0.106666666667,0.491892892893,5.19897253415e-05,0.0343439441712,2.31899554175e+70,264.1875,0.815506329114
mackerel,66,0.088,0.48677662209,5.22617494645e-05,0.0277429014062,1.51323104473e+70,266.545454545,0.765501165501
ale,15,0.02,0.458503382319,4.28151433656e-07,0.00712112888896,9.97037767129e+68,345.133333333,0.733333333333
roe,18,0.024,0.45946797569,3.62934254234e-07,0.00886065584773,1.54362043909e+69,341.222222222,0.908496732026
poppy_seed,148,0.197333333333,0.521242110846,0.000493907459676,0.0547061297905,5.88387319813e+70,210.263513514,0.658485015628
fish_steak,43,0.0573333333333,0.477551992225,6.32058031684e-06,0.0203750795536,8.16217360871e+69,317.325581395,0.837209302326
freshwater_fish,13,0.0173333333333,0.459145993927,2.99937762462e-07,0.00695892209584,9.5213641668e+68,393.076923077,0.782051282051
honeydew_melon,30,0.04,0.470352715961,1.04671458661e-05,0.0111529427772,2.44556326975e+69,242.566666667,0.786206896552
corn cob,17,0.0226666666667,0.464352468698,8.09740874928e-07,0.00917588008012,1.65543456014e+69,398.941176471,0.669117647059
grape,133,0.177333333333,0.515500655652,0.000648346902533,0.0453017051091,4.03481034924e+70,201.654135338,0.595693779904
flounder,20,0.0266666666667,0.46011329588,1.05990673014e-06,0.00918843115752,1.65992521666e+69,308.25,0.857894736842
peanut,243,0.324,0.564828735632,0.00296033312917,0.075193448871,1.11159288974e+71,167.646090535,0.46216372479
sashimi,10,0.0133333333333,0.450619899129,1.29282652841e-08,0.00445310282148,3.89877584973e+68,294.8,0.977777777778
geranium,4,0.00533333333333,0.409756931415,0.0,0.00192247912194,7.26648167788e+67,301.25,1.0
couscous,48,0.064,0.480352883675,1.21239717173e-05,0.0217382826385,9.29082246171e+69,291.875,0.830673758865
black_olive,43,0.0573333333333,0.475472665699,1.30889190338e-05,0.0192649613263,7.29691887357e+69,289.046511628,0.834994462901
cress,44,0.0586666666667,0.477551992225,4.2323601995e-05,0.0183710277508,6.63545355721e+69,272.636363636,0.778012684989
pork_belly,20,0.0266666666667,0.464352468698,5.4526606881e-07,0.0104135007827,2.13209505421e+69,370.35,0.805263157895
ingredient,231,0.308,0.559522914888,0.00543594663417,0.0718641641798,1.01534062673e+71,170.454545455,0.467494824017
lima_bean,60,0.08,0.483186823992,1.60906484984e-05,0.0266324496299,1.39451602818e+70,278.533333333,0.852542372881
castor_sugar,228,0.304,0.558093128904,0.00394772913009,0.0687014103366,9.27937172575e+70,166.460526316,0.442306206044
offal,4,0.00533333333333,0.437676241372,4.40563572173e-08,0.00224375705965,9.89860646448e+67,449.0,0.5
kidney_bean,85,0.113333333333,0.494491572327,7.36097607924e-05,0.0353601200905,2.45824907513e+70,253.729411765,0.782913165266
jujube,12,0.016,0.442404681521,4.4545575523e-08,0.00506422661275,5.04228887543e+68,270.666666667,0.954545454545
porgy,4,0.00533333333333,0.425731860515,9.39393832645e-09,0.00204914228483,8.25572089514e+67,353.0,0.833333333333
nectar,17,0.0226666666667,0.445412191253,2.34781096257e-05,0.00520038714458,5.31701039385e+68,192.588235294,0.779411764706
asparagus,121,0.161333333333,0.509884306096,0.000507976945208,0.0458427019095,4.13176169348e+70,222.950413223,0.681818181818
egg_noodle,48,0.064,0.477204175771,1.31862818999e-05,0.0205901432411,8.33527721089e+69,271.479166667,0.859042553191
mandarin_orange,25,0.0333333333333,0.470015303682,6.474717939e-05,0.0103984708295,2.12590822793e+69,281.24,0.743333333333
pea,271,0.361333333333,0.578799764429,0.00280573974949,0.081142389246,1.29443129908e+71,158.749077491,0.42913762471
smoked_haddock,18,0.024,0.463039811543,4.52507802038e-07,0.00860942224634,1.45732331486e+69,327.833333333,0.875816993464
prosciutto,4,0.00533333333333,0.409500833333,0.0,0.00182841112594,6.57272570316e+67,283.5,1.0
haricot,12,0.016,0.450930029823,3.16710818436e-07,0.00647876141831,8.25279108248e+68,396.25,0.681818181818
wheat_germ,35,0.0466666666667,0.472047070125,8.90091393983e-06,0.0141286185309,3.92465501987e+69,261.428571429,0.835294117647
beet_green,24,0.032,0.467666904592,1.15830444711e-06,0.0117591715812,2.71871877552e+69,341.916666667,0.815217391304
pea_flour,33,0.044,0.470690613027,1.93178296708e-06,0.0159970517576,5.03137115538e+69,319.696969697,0.869318181818
round,23,0.0306666666667,0.463039811543,8.91712729983e-07,0.0115970099473,2.64426004698e+69,355.086956522,0.802371541502
orzo,16,0.0213333333333,0.45754283054,8.52625678517e-06,0.00800797954212,1.26084563188e+69,371.625,0.7
pork,161,0.214666666667,0.527112898901,0.0010537372963,0.0559613147994,6.15696737226e+70,198.049689441,0.588664596273
sultana,114,0.152,0.507514588175,0.000226126109806,0.0443452235069,3.86623518923e+70,228.929824561,0.718677224034
tomato_sauce,109,0.145333333333,0.505556584362,0.000252989007859,0.0440266624835,3.8108978213e+70,238.862385321,0.760448521916
almond,315,0.42,0.602761116222,0.00968882201637,0.0870797940529,1.49079465386e+71,146.526984127,0.363805479729
bacon,80,0.106666666667,0.491892892893,0.000353475754144,0.0297662330139,1.74198052031e+70,223.65,0.696835443038
ham,42,0.056,0.471028995926,3.6512760279e-05,0.0180751857841,6.42343412618e+69,273.0,0.82462253194
millet,67,0.0893333333333,0.488227521113,3.40300392171e-05,0.0290883261172,1.66355592177e+70,268.925373134,0.836725463591
burger,55,0.0733333333333,0.48247520864,9.79890604156e-06,0.0248060821436,1.20981519096e+70,287.381818182,0.883501683502
currant,89,0.118666666667,0.4959888973,0.000130338103663,0.0340120730963,2.27437650918e+70,230.516853933,0.708375893769
raw_milk,1,0.00133333333333,0.378073475668,0.0,0.000530614444486,5.53575615516e+66,373.0,0.0
marinade,17,0.0226666666667,0.463039811543,6.45628155052e-07,0.00845285511568,1.40481104145e+69,351.411764706,0.823529411765
spaghetti,15,0.02,0.453740535549,8.34811057492e-07,0.00629023111736,7.77932886282e+68,293.2,0.838095238095
almond_extract,49,0.0653333333333,0.475472665699,0.000284054629831,0.0173597587747,5.92490486687e+69,211.12244898,0.696428571429
powdered_sugar,9,0.012,0.431053508772,0.0,0.00449688209327,3.97580176897e+68,308.666666667,1.0
red_onion,334,0.445333333333,0.612910508263,0.00830535386444,0.0878102252606,1.5159023054e+71,137.386227545,0.323820826815
guava,82,0.109333333333,0.494491572327,0.000176591413706,0.0288501344886,1.63641122153e+70,216.975609756,0.700993676603
ground_beef,107,0.142666666667,0.504389017193,0.000138899871633,0.0437919791757,3.77038516871e+70,244.252336449,0.77411391289
tarragon,92,0.122666666667,0.498251964512,0.000148497888828,0.0368706529521,2.67275731062e+70,243.663043478,0.744147157191
almond_cookie,11,0.0146666666667,0.456586295006,3.38778541832e-07,0.00593856547367,6.93395328469e+68,402.818181818,0.618181818182
soy_sauce,178,0.237333333333,0.533551574376,0.00166426883654,0.0580746443506,6.63074615423e+70,183.005617978,0.528851647305
espresso,3,0.004,0.400489812551,0.0,0.00110651124632,2.40723418425e+67,247.0,1.0
fillet,138,0.184,0.51794571805,0.00047938738401,0.0500818673216,4.93121346246e+70,210.282608696,0.635248069396
milk,291,0.388,0.589740174017,0.0091067038019,0.0817475757983,1.31381344562e+71,150.130584192,0.378788956037
durum_wheat,10,0.0133333333333,0.452487108656,9.54897499208e-08,0.0048244992802,4.57633740915e+68,350.1,0.866666666667
dill_weed,152,0.202666666667,0.523742073008,0.00150439819757,0.0539954133372,5.73199432085e+70,203.736842105,0.606570233531
galangal,73,0.0973333333333,0.486415243752,0.000109890811832,0.0271264561708,1.44671059276e+70,222.328767123,0.719558599696
corn,176,0.234666666667,0.533551574376,0.000854354206419,0.0605044198203,7.19721395956e+70,193.767045455,0.577792207792
gingersnap,3,0.004,0.365218134522,0.0,0.000825054377509,1.3382999154e+67,152.666666667,1.0
grapefruit_juice,15,0.02,0.43884885019,4.22389919497e-07,0.00440125634284,3.80837389513e+68,172.333333333,0.961904761905
plain_flour,132,0.176,0.515095387841,0.000449938136602,0.0488563379273,4.69283597897e+70,215.71969697,0.653712699514
curry,341,0.454666666667,0.616950408035,0.00657908666508,0.091160239007,1.63377133913e+71,138.736070381,0.332171813007
yellow_bean,47,0.0626666666667,0.477204175771,1.64720157198e-05,0.0206710886064,8.40098590459e+69,284.382978723,0.823311748381
leg,129,0.172,0.514286760858,0.000113667441882,0.0520712641319,5.33077380523e+70,234.860465116,0.772165697674
chilli pepper,37,0.0493333333333,0.472387406873,4.81286526277e-06,0.0173327278048,5.9066327983e+69,311.756756757,0.842342342342
herb,138,0.184,0.517128124178,0.000514501922986,0.0489505767898,4.71093434064e+70,202.97826087,0.618110652703
corn_flake,14,0.0186666666667,0.455317118369,4.41259043317e-07,0.00568835467583,6.36169280524e+68,255.714285714,0.923076923077
water,149,0.198666666667,0.522906092046,0.00205338675428,0.0515408280699,5.22269376649e+70,199.516778523,0.582441501905
sea_trout,36,0.048,0.474783574879,4.19509837086e-05,0.0148521515235,4.33691676205e+69,266.666666667,0.760317460317
chicken leg,73,0.0973333333333,0.489687095167,2.34214596346e-05,0.032465062654,2.07221004928e+70,277.890410959,0.851217656012
chamomile,4,0.00533333333333,0.422437996991,0.0,0.00208215616527,8.52379755577e+67,354.5,1.0
mozzarella,59,0.0786666666667,0.483900541605,0.000307735088298,0.0226230782872,1.00624153916e+70,239.06779661,0.699590882525
vinegar,281,0.374666666667,0.584479333928,0.00569480957911,0.0805132375946,1.27443810254e+71,153.722419929,0.392653787494
beef_tongue,13,0.0173333333333,0.45754283054,5.64080400287e-07,0.00594073979958,6.93890868347e+68,327.307692308,0.871794871795
lychee,61,0.0813333333333,0.476510060606,0.000251611055605,0.0164123817642,5.29577518031e+69,152.655737705,0.615846994536
puff,30,0.04,0.469341929322,7.17504440848e-07,0.015111867448,4.48997633084e+69,338.433333333,0.91724137931
maple_syrup,181,0.241333333333,0.535732897247,0.00113555037248,0.0586470650532,6.76209645094e+70,181.453038674,0.522836095764
cinnamon,429,0.572,0.669940013633,0.0197566817484,0.0947245133436,1.76400284244e+71,108.347319347,0.20781866109
orange_marmalade,20,0.0266666666667,0.456268337976,2.99338286549e-06,0.00765496546641,1.15208030393e+69,236.65,0.831578947368
buckwheat,20,0.0266666666667,0.467000237586,1.41107524272e-06,0.00917486298829,1.65502284826e+69,303.45,0.863157894737
popcorn,9,0.012,0.44450565355,8.10163194198e-08,0.0046474968808,4.24667564486e+68,355.666666667,0.833333333333
mussel,72,0.096,0.488956218905,5.49019747427e-05,0.0307731664837,1.86185071445e+70,266.666666667,0.816118935837
green_olive,22,0.0293333333333,0.461734554851,4.22107525468e-07,0.0114179607443,2.5632346571e+69,360.909090909,0.878787878788
apple,218,0.290666666667,0.553379504505,0.00313179923923,0.0663483732397,8.65463326227e+70,169.747706422,0.459603432968
radish,163,0.217333333333,0.527962395917,0.000707183681906,0.0572926902561,6.45341241149e+70,199.190184049,0.598954783004
liqueur,9,0.012,0.407210275533,8.0341110214e-07,0.00293602636065,1.69475029817e+68,179.0,0.777777777778
lemon_oil,3,0.004,0.370798717223,0.0,0.00108504452673,2.31461847701e+67,193.0,1.0
soybean,58,0.0773333333333,0.481411707078,1.33818461778e-05,0.0258144972913,1.31017631047e+70,282.362068966,0.86872353297
duck,121,0.161333333333,0.511077483099,0.00024719045222,0.0467221176667,4.29179770765e+70,226.090909091,0.705096418733
pork_tenderloin,59,0.0786666666667,0.482120186412,6.96659630493e-05,0.0252396676461,1.25247563271e+70,270.830508475,0.774985388662
herring,4,0.00533333333333,0.43884885019,4.40563572173e-08,0.00229064789183,1.03166674716e+68,458.0,0.5
broccoli_rabe,1,0.00133333333333,0.421351339764,0.0,0.000614843139379,7.43291996064e+66,551.0,0.0
lime,433,0.577333333333,0.676162366701,0.0236346418699,0.101024050685,2.00644872082e+71,119.570438799,0.247530151399
hamburger_bun,30,0.04,0.469005965163,6.85056109952e-07,0.0147047206277,4.25128794183e+69,327.866666667,0.92183908046
saltine,21,0.028,0.45690469549,6.33324010181e-07,0.00828335205417,1.34898844427e+69,237.476190476,0.942857142857
sake,50,0.0666666666667,0.478598490382,3.22376774605e-05,0.0191656672216,7.22173636393e+69,224.48,0.757551020408
sesame_seed,235,0.313333333333,0.560960045662,0.00189529045187,0.0742566666196,1.0840689666e+71,171.472340426,0.482742316785
dried_apricot,119,0.158666666667,0.509487817522,0.00035098435198,0.0448531968662,3.95531902844e+70,223.117647059,0.6846603048
clotted_cream,48,0.064,0.480000976801,1.47061449932e-05,0.021323969874,8.9400110384e+69,283.041666667,0.859929078014
flank_steak,20,0.0266666666667,0.466003793267,3.42544300703e-07,0.0100728415669,1.99485640578e+69,339.05,0.915789473684
pollock,21,0.028,0.468000952381,4.79079608852e-07,0.0110710462986,2.40984491126e+69,371.619047619,0.857142857143
