node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,21,0.0203291384318,0.448838687516,6.18689948018e-07,0.00624066232616,4.39902121776e+93,413.571428571,0.695238095238
pheasant,115,0.111326234269,0.48437280034,6.12068632295e-05,0.0311456952373,1.09571173849e+95,340.87826087,0.765675057208
whiting,38,0.0367860600194,0.456921587609,1.83173167844e-06,0.010612433004,1.27211050979e+94,378.815789474,0.71266002845
mustard oil,34,0.0329138431752,0.453081910402,7.3956535326e-06,0.0090159284614,9.18164020613e+93,342.205882353,0.73440285205
sunflower_oil,232,0.22458857696,0.520306367555,0.000689466722663,0.052542546806,3.11837038468e+95,266.814655172,0.587699656665
mackerel,91,0.0880929332043,0.47399338319,3.01606870985e-05,0.0239810750781,6.49586897087e+94,332.703296703,0.75115995116
ale,34,0.0329138431752,0.456196698787,1.92346887352e-06,0.00965322843576,1.05254281003e+94,389.705882353,0.677361853832
roe,81,0.0784123910939,0.472694771181,1.40755817785e-05,0.022102958637,5.51822140377e+94,353.37037037,0.741358024691
hero roll,47,0.0454985479187,0.456921587609,1.8467336775e-05,0.0126369019329,1.8037633595e+94,343.914893617,0.756706753006
graham_bread,16,0.0154888673766,0.436352027013,3.24224397201e-08,0.00463530821665,2.42692529914e+93,377.875,0.95
wood_sorrel,95,0.0919651500484,0.478197315635,0.000108139960217,0.0241949656925,6.61224940665e+94,327.431578947,0.664725643897
ice,3,0.00290416263311,0.328260257765,0.0,0.000249289337239,7.01977339821e+90,95.6666666667,1.0
anchovy_sauce,4,0.00387221684414,0.373126279155,0.0,0.00104308574461,1.22899013386e+92,288.75,1.0
poppy_seed,32,0.0309777347531,0.452844072129,6.06933991453e-06,0.00835122640488,7.87768499237e+93,346.90625,0.683467741935
fish_steak,30,0.0290416263311,0.451422269705,8.96473580662e-07,0.00942541159196,1.00344277625e+94,443.533333333,0.648275862069
pea,374,0.362052274927,0.568292462059,0.00460363187498,0.0698241307591,5.50708047234e+95,205.842245989,0.403635790168
freshwater_fish,17,0.0164569215876,0.432848950028,4.00685881327e-07,0.00560342937586,3.54646744763e+93,481.058823529,0.426470588235
liquorice,30,0.0290416263311,0.443759237349,4.24034694328e-06,0.0070687013813,5.64395027325e+93,292.066666667,0.779310344828
crystallized_fruit,105,0.101645692159,0.478993868632,0.000120596899705,0.0226864944746,5.81352639307e+94,263.542857143,0.67380952381
corn cob,3,0.00290416263311,0.401427620943,5.60022105193e-09,0.000876081842093,8.66925659581e+91,414.0,0.666666666667
grape,252,0.243949661181,0.527303152448,0.00139775985271,0.0549363256647,3.40898761785e+95,254.936507937,0.552045785114
peanut,72,0.0696999031946,0.470118777878,0.000129545896419,0.0161364891795,2.94116819593e+94,284.152777778,0.611893583725
sashimi,54,0.0522749273959,0.466307004003,1.8203425267e-05,0.0151918730015,2.60687710245e+94,371.62962963,0.783368273934
geranium,22,0.0212971926428,0.44103678804,1.3741658854e-06,0.00555215986099,3.48197041903e+93,326.181818182,0.800865800866
hardtack,25,0.0242013552759,0.443531083499,5.00718745914e-07,0.00675012048299,5.14657208209e+93,366.76,0.733333333333
starter,28,0.027105517909,0.454274859087,1.93693678368e-06,0.00793663569111,7.11486164926e+93,399.642857143,0.603174603175
couscous,115,0.111326234269,0.483287371096,4.8659182047e-05,0.0305589961181,1.05482071546e+95,332.104347826,0.763691838291
black_olive,323,0.312681510165,0.550170891203,0.001431612837,0.0660777150025,4.9319548249e+95,229.012383901,0.487356498664
cress,26,0.0251694094869,0.44536291038,2.21440568037e-06,0.00696635718487,5.48162949229e+93,351.769230769,0.726153846154
pork_belly,145,0.1403678606,0.49323496707,9.84811610773e-05,0.0374411701441,1.58343775033e+95,316.696551724,0.734578544061
ingredient,497,0.481122942885,0.618399969466,0.0154003960057,0.0734958889825,6.10158419123e+95,149.816901408,0.218804764068
malmsey,10,0.00968054211036,0.401240910421,1.98769790873e-08,0.00228728441556,5.9094310794e+92,282.9,0.977777777778
lima_bean,89,0.0861568247822,0.475561167258,2.41125181109e-05,0.0240227922922,6.51848136977e+94,340.752808989,0.762257405516
brownie,5,0.00484027105518,0.399938784147,4.89836567205e-09,0.00133404370326,2.01019054771e+92,371.0,0.9
jack,17,0.0164569215876,0.435911044672,1.23553993183e-07,0.00537943876033,3.268657911e+93,424.588235294,0.838235294118
kidney_bean,83,0.080348499516,0.471145798692,1.84314833974e-05,0.0220914653977,5.51250742401e+94,334.674698795,0.754628269174
quince,152,0.147144240077,0.494649058145,0.000180089302346,0.0359328014267,1.4584307424e+95,287.815789474,0.665040083653
poultry,9,0.00871248789932,0.421430365122,4.74834261701e-08,0.00268563464865,8.14677944711e+92,423.0,0.722222222222
ouzo,2,0.00193610842207,0.392121798821,0.0,0.000687732758284,5.34235675071e+91,499.5,1.0
porgy,48,0.0464666021297,0.462804698179,2.95957400132e-06,0.0139509993947,2.19839594149e+94,391.625,0.721631205674
red_snapper,111,0.107454017425,0.481399529802,2.699147058e-05,0.0289851748802,9.48970954787e+94,324.684684685,0.770188370188
nectar,14,0.0135527589545,0.437236673799,8.83379624584e-06,0.00359172694313,1.45714505247e+93,353.428571429,0.637362637363
asparagus,288,0.278799612778,0.537822916088,0.0014149660139,0.0610232711136,4.2062869378e+95,240.260416667,0.525091947348
cane_sugar,15,0.0145208131655,0.438347539332,9.15410814693e-08,0.00449846318744,2.28573423985e+93,412.733333333,0.885714285714
loganberry,12,0.0116166505324,0.426219346544,1.58998237433e-08,0.00316561686692,1.13192746289e+93,344.083333333,0.954545454545
smoked_haddock,25,0.0242013552759,0.452606483424,1.44195694881e-06,0.00775342520628,6.7900921849e+93,460.44,0.406666666667
prosciutto,380,0.367860600194,0.57130328305,0.00498326340599,0.0722172393837,5.89104319198e+95,209.352631579,0.413692542702
haricot,88,0.0851887705712,0.474775980961,0.000136855365628,0.0231440653888,6.05033774476e+94,329.556818182,0.745820271682
quahog,7,0.00677637947725,0.415143386624,4.19911508199e-08,0.00190887671803,4.11575409925e+92,382.0,0.714285714286
beet_green,94,0.0909970958374,0.477403407529,3.00432448213e-05,0.0255611965,7.38008498122e+94,346.744680851,0.74994280485
pea_flour,3,0.00290416263311,0.406343832975,0.0,0.00100860667285,1.14904781953e+92,473.666666667,1.0
scampi,103,0.0997095837367,0.479526379881,4.16217652252e-05,0.0268980264265,8.17223440218e+94,329.368932039,0.752903102989
round,76,0.0735721200387,0.47063172799,0.000192703180649,0.0211972675629,5.07524297424e+94,364.171052632,0.722456140351
dessert_wine,67,0.0648596321394,0.4637999771,2.02959403754e-05,0.015764803255,2.80725775251e+94,289.104477612,0.787426503844
garlic_butter,10,0.00968054211036,0.430903075627,1.0873922977e-07,0.00275872124233,8.59622034059e+92,392.5,0.666666666667
sultana,200,0.193610842207,0.510454412666,0.000437380040264,0.0473561405699,2.53312778298e+95,283.11,0.64432160804
tomato_sauce,283,0.273959341723,0.536485048138,0.000951331933897,0.0595583998205,4.0067691707e+95,237.724381625,0.523218805604
lemon_curd,14,0.0135527589545,0.421636342818,5.55046188157e-07,0.00330827350669,1.23624695772e+93,304.142857143,0.802197802198
tea,54,0.0522749273959,0.459599337989,4.39303414454e-05,0.0132350525139,1.97857642066e+94,311.37037037,0.696715583508
almond,407,0.393998063892,0.582490180557,0.006704047583,0.0708341785339,5.66754463959e+95,195.520884521,0.353154766948
bacon,305,0.295256534366,0.544613609473,0.00132289753765,0.063378609658,4.53726237321e+95,234.432786885,0.50142364107
millet,17,0.0164569215876,0.439688051685,1.02584059429e-05,0.00432601216304,2.11382246873e+93,364.705882353,0.676470588235
strawberry_ice_cream,15,0.0145208131655,0.395537807155,1.56508638477e-06,0.002263812133,5.78884160616e+92,179.866666667,0.838095238095
burger,20,0.0193610842207,0.437015175991,6.82399302198e-07,0.00488906532805,2.69993125996e+93,306.75,0.831578947368
soft_roll,15,0.0145208131655,0.420608462899,2.27987827296e-07,0.00384784554502,1.67238355946e+93,317.133333333,0.8
currant,218,0.211035818006,0.515641337361,0.000546652834089,0.0509121391877,2.92784316087e+95,276.839449541,0.63002578954
ravioli,48,0.0464666021297,0.461813681695,5.52068045159e-06,0.0145324283655,2.38545510857e+94,405.895833333,0.73670212766
spaghetti,241,0.23330106486,0.522196100124,0.00100066408958,0.0541458376273,3.31158864009e+95,261.091286307,0.584474412172
almond_extract,104,0.100677637948,0.478462538772,0.000214254725763,0.0219262514102,5.43043805142e+94,254.769230769,0.67214339059
gnocchi,34,0.0329138431752,0.452606483424,1.32131970748e-06,0.0102068230368,1.17672234842e+94,414.911764706,0.641711229947
giblet,22,0.0212971926428,0.447674082722,2.74950392799e-07,0.00679954909492,5.22221474314e+93,429.5,0.796536796537
powdered_sugar,18,0.0174249757986,0.426852032363,8.10549052658e-07,0.00406618255218,1.8675692453e+93,293.833333333,0.830065359477
red_onion,436,0.422071636012,0.590868463976,0.00579098915571,0.0699552065694,5.52785546625e+95,161.688073394,0.257671622904
egg_roll,5,0.00484027105518,0.415543332084,1.74283523958e-08,0.00152620973096,2.63098502795e+92,460.2,0.7
ground_beef,215,0.208131655373,0.514411423617,0.000487564162533,0.0495420187812,2.77238146069e+95,270.293023256,0.618343838296
tarragon,263,0.254598257502,0.529894322731,0.000834539130393,0.0575631533844,3.74279713371e+95,251.152091255,0.558296810147
almond_cookie,6,0.00580832526621,0.404818375132,4.65527060148e-09,0.00174494610756,3.4392503686e+92,387.833333333,0.933333333333
soy_sauce,143,0.138431752178,0.492390386647,0.000721852826278,0.0306317845841,1.05985853505e+95,262.153846154,0.536984142618
tempura,7,0.00677637947725,0.428974618302,2.16037223903e-08,0.00212516255588,5.10128095764e+92,427.714285714,0.857142857143
espresso,116,0.11229428848,0.481131041498,0.0010039608784,0.0223969371843,5.66606873816e+94,237.715517241,0.565667166417
fillet,187,0.181026137464,0.505074916514,0.00038795454895,0.0442127125498,2.20799614575e+95,282.689839572,0.645563797366
chocolate_cake,17,0.0164569215876,0.429615516636,3.00653695856e-06,0.00425450764694,2.04455792928e+93,331.058823529,0.838235294118
salsify,65,0.0629235237173,0.46858661456,2.69490762756e-05,0.0173662523881,3.40651964115e+94,347.046153846,0.749038461538
dill_weed,234,0.226524685382,0.520306367555,0.000941657882304,0.0515812274199,3.00531351748e+95,255.205128205,0.567440666153
applesauce,16,0.0154888673766,0.432415016243,6.96549680149e-07,0.00399723421214,1.80475606304e+93,319.1875,0.733333333333
galangal,7,0.00677637947725,0.400495801952,5.53414174748e-09,0.00169973737427,3.26335744227e+92,302.285714286,0.952380952381
leafy_vegetable,230,0.222652468538,0.519366620955,0.000633332419599,0.0526889868227,3.13577727512e+95,268.469565217,0.602885893298
gingersnap,13,0.0125847047435,0.428761410241,1.37535180516e-07,0.0033885477958,1.29695885215e+93,358.307692308,0.846153846154
beef_neck,20,0.0193610842207,0.438347539332,4.3739721365e-07,0.00632527917941,4.51908577809e+93,451.8,0.636842105263
grapefruit_juice,12,0.0116166505324,0.40368177698,6.24414576162e-06,0.00211029444674,5.03031155255e+92,213.0,0.712121212121
toast,24,0.0232333010649,0.450244236642,1.19825830214e-06,0.00669261597611,5.05929371573e+93,372.041666667,0.746376811594
